DATE,Mortgage_Rate_US
2003-01-01,5.8269811320754717
2004-01-01,5.8392307692307692
2005-01-01,5.8667307692307692
2006-01-01,6.4132692307692308
2007-01-01,6.3373076923076923
2008-01-01,6.0271698113207547
2009-01-01,5.0365384615384615
2010-01-01,4.6898076923076923
2011-01-01,4.4478846153846154
2012-01-01,3.6575000000000000
2013-01-01,3.9755769230769231
2014-01-01,4.1688679245283019
2015-01-01,3.8505769230769231
2016-01-01,3.6540384615384615
2017-01-01,3.9898076923076923
2018-01-01,4.5446153846153846
2019-01-01,3.9357692307692308
2020-01-01,3.1116981132075472
2021-01-01,2.9576923076923077
2022-01-01,5.3440384615384615
