DATE,House_Permits
2003-01-01,1888.4166666666666667
2004-01-01,2057.5833333333333333
2005-01-01,2160.0833333333333333
2006-01-01,1843.6666666666666667
2007-01-01,1391.5000000000000000
2008-01-01,895.8333333333333333
2009-01-01,582.0000000000000000
2010-01-01,603.6666666666666667
2011-01-01,624.0000000000000000
2012-01-01,828.5000000000000000
2013-01-01,988.0000000000000000
2014-01-01,1052.0833333333333333
2015-01-01,1177.4166666666666667
2016-01-01,1205.6666666666666667
2017-01-01,1286.4166666666666667
2018-01-01,1328.0833333333333333
2019-01-01,1389.2500000000000000
2020-01-01,1479.0000000000000000
2021-01-01,1739.6666666666666667
2022-01-01,1666.1666666666666667
