DATE,Unemployment_Rate
2003-01-01,5.9916666666666667
2004-01-01,5.5416666666666667
2005-01-01,5.0833333333333333
2006-01-01,4.6083333333333333
2007-01-01,4.6166666666666667
2008-01-01,5.8000000000000000
2009-01-01,9.2833333333333333
2010-01-01,9.6083333333333333
2011-01-01,8.9333333333333333
2012-01-01,8.0750000000000000
2013-01-01,7.3583333333333333
2014-01-01,6.1583333333333333
2015-01-01,5.2750000000000000
2016-01-01,4.8750000000000000
2017-01-01,4.3583333333333333
2018-01-01,3.8916666666666667
2019-01-01,3.6833333333333333
2020-01-01,8.0916666666666667
2021-01-01,5.3666666666666667
2022-01-01,3.6416666666666667
