DATE,Life_Expectancy
2003-01-01,77.0365853658537
2004-01-01,77.4878048780488
2005-01-01,77.4878048780488
2006-01-01,77.6878048780488
2007-01-01,77.9878048780488
2008-01-01,78.0390243902439
2009-01-01,78.390243902439
2010-01-01,78.5414634146342
2011-01-01,78.6414634146341
2012-01-01,78.7414634146342
2013-01-01,78.7414634146342
2014-01-01,78.8414634146341
2015-01-01,78.690243902439
2016-01-01,78.5390243902439
2017-01-01,78.5390243902439
2018-01-01,78.6390243902439
2019-01-01,78.7878048780488
2020-01-01,76.9804878048781
2021-01-01,76.3292682926829
