DATE,HPI
2003-01-01,133.7313333333333317
2004-01-01,150.4402500000000017
2005-01-01,171.7369999999999967
2006-01-01,183.4474999999999967
2007-01-01,179.9189166666666692
2008-01-01,164.0574166666666683
2009-01-01,148.5450833333333317
2010-01-01,144.6745000000000017
2011-01-01,139.2595000000000033
2012-01-01,140.9938333333333317
2013-01-01,154.5208333333333317
2014-01-01,164.6982500000000017
2015-01-01,172.1817499999999942
2016-01-01,180.9257500000000000
2017-01-01,191.3987500000000025
2018-01-01,202.4793333333333325
2019-01-01,209.4676666666666700
2020-01-01,222.1485833333333333
2021-01-01,260.0530000000000042
2022-01-01,298.4941666666666700
